2025-06-28T22:03:50.495057 | DRNMISANML004400000379F 1.488 | DRNMISANML004400000379F 1.488
2025-06-28T22:03:50.495171 | PATRA077898806441 6.97X | PATRA077898806441 6.97X
2025-06-28T22:07:48.927738 | COH3PCSET088861018239 9.44% | COH3PCSET088861018239 9.44%
2025-06-28T22:07:49.305319 | COH3PKBDS088614999361 7.24% | COH3PKBDS088614999361 7.24%
2025-06-28T22:07:49.667849 | COMBDS 088614999362 1.24% | COMBDS 088614999362 1.24%
2025-06-28T22:07:50.046827 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T22:07:50.517376 | COH2PKHATR007163412962 4.97% | COH2PKHATR007163412962 4.97%
2025-06-28T22:07:50.927119 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T22:07:51.302597 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T22:07:51.747100 | COM4PKSOCK007153413048 4.97X | COM4PKSOCK007153413048 4.97X
2025-06-28T22:07:52.156934 | 1POPUGOf3004721376373 2.00X | 1POPUGOf3004721376373 2.00X
2025-06-28T22:07:52.566389 | . RS. 003700086358 24.94X | . RS. 003700086358 24.94X
2025-06-28T22:07:52.975561 | DRNMISANML004400000379F 1.488 | DRNMISANML004400000379F 1.488
2025-06-28T22:07:53.386877 | PATRA077898806441 6.97X | PATRA077898806441 6.97X
2025-06-28T22:07:53.387157 | COH3PCSET088861018239 9.44% | COH3PCSET088861018239 9.44%
2025-06-28T22:07:53.387508 | COH3PKBDS088614999361 7.24% | COH3PKBDS088614999361 7.24%
2025-06-28T22:07:53.387730 | COMBDS 088614999362 1.24% | COMBDS 088614999362 1.24%
2025-06-28T22:07:53.387863 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T22:07:53.387969 | COH2PKHATR007163412962 4.97% | COH2PKHATR007163412962 4.97%
2025-06-28T22:07:53.388063 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T22:07:53.388159 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T22:07:53.388247 | COM4PKSOCK007153413048 4.97X | COM4PKSOCK007153413048 4.97X
2025-06-28T22:07:53.388337 | 1POPUGOf3004721376373 2.00X | 1POPUGOf3004721376373 2.00X
2025-06-28T22:07:53.388439 | . RS. 003700086358 24.94X | . RS. 003700086358 24.94X
2025-06-28T22:07:53.388614 | DRNMISANML004400000379F 1.488 | DRNMISANML004400000379F 1.488
2025-06-28T22:07:53.388819 | PATRA077898806441 6.97X | PATRA077898806441 6.97X
2025-06-28T22:11:28.018161 | COH3PCSET088861018239 9.44% | COH3PCSET088861018239 9.44%
2025-06-28T22:11:28.385617 | COH3PKBDS088614999361 7.24% | COH3PKBDS088614999361 7.24%
2025-06-28T22:11:28.831956 | COMBDS 088614999362 1.24% | COMBDS 088614999362 1.24%
2025-06-28T22:11:29.244699 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
